Input	Input_source	Output	Output_source
6378	6378	C15508	KEGG
6378	6378	D09803	KEGG
5425	5425	C02389	KEGG
5462254	5462254	C03790	KEGG
338	Matador	C00805	KEGG
338	Matador	D00097	KEGG
10400	10400	C08201	KEGG
492405	492405	D09537	KEGG
25674	25674	C11227	KEGG
247	Matador	C00719	KEGG
247	Matador	D07523	KEGG
440641	440641	C05345	KEGG
11101	11101	C08909	KEGG
6106	6106	C03236	KEGG
6106	6106	C00123	KEGG
6106	6106	D00030	KEGG
6775	6775	C04081	KEGG
6775	6775	D00377	KEGG
8580	8580	C06344	KEGG
70912	70912	C02710	KEGG
123938	123938	C00669	KEGG
10712	10712	C08519	KEGG
10712	10712	C06422	KEGG
321	321	C03263	KEGG
24798689	24798689	C18224	KEGG
1153	1153	C01536	KEGG
7904	7904	C05578	KEGG
7904	7904	C19309	KEGG
6657	6657	C03929	KEGG
13243	13243	C11061	KEGG
1194	1194	C04092	KEGG
8842	8842	C06616	KEGG
7840	7840	C05480	KEGG
8655	8655	C06420	KEGG
122336	122336	C00689	KEGG
5318532	5318532	C00451	KEGG
439938	439938	C03194	KEGG
890	890	C01204	KEGG
854021	854021	C13776	KEGG
13711	13711	C11544	KEGG
13711	13711	C00881	KEGG
657272	657272	D07349	KEGG
482	482	C15991	KEGG
6595	6595	C03859	KEGG
87310	87310	C08265	KEGG
6119	6119	C03252	KEGG
6119	6119	C03665	KEGG
9904	Matador	C07254	KEGG
9904	Matador	D08250	KEGG
756	756	C00266	KEGG
1269845	1269845	C19304	KEGG
330573	330573	C11395	KEGG
3983	3983	C00717	KEGG
3983	3983	C13903	KEGG
10016	10016	C07814	KEGG
6754	6754	C04053	KEGG
6326	6326	C03517	KEGG
6326	6326	C01548	KEGG
220010	220010	C20657	KEGG
6844	6844	C04160	KEGG
6844	6844	C03203	KEGG
660	660	C02274	KEGG
5237	5237	C02161	KEGG
5237	5237	C06108	KEGG
65127	65127	C00275	KEGG
6770	6770	C04075	KEGG
28598	28598	C14556	KEGG
7903	7903	C05577	KEGG
4951	4951	C01832	KEGG
7253	7253	C04672	KEGG
241582	241582	C03679	KEGG
25150859	25150859	C11925	KEGG
6857359	6857359	C03979	KEGG
439232	439232	C00437	KEGG
13679	13679	C11509	KEGG
13216	13216	C11033	KEGG
7428	7428	C04876	KEGG
8821	8821	C19238	KEGG
440717	440717	C05528	KEGG
6267	6267	C00152	KEGG
899	899	C02711	KEGG
11418	11418	C09227	KEGG
6553	6553	C03804	KEGG
637566	637566	C01500	KEGG
7149	7149	C04543	KEGG
7427	7427	C04875	KEGG
7427	7427	C01083	KEGG
7290	7290	C04718	KEGG
7290	7290	C18676	KEGG
7902	7902	C05576	KEGG
7902	7902	D07777	KEGG
7813	7813	C05451	KEGG
5757	5757	C02807	KEGG
5757	5757	C00951	KEGG
5757	5757	D00105	KEGG
439886	439886	C03043	KEGG
4378	4378	C01149	KEGG
31357	31357	C14439	KEGG
5280934	5280934	C06427	KEGG
11966146	11966146	C03561	KEGG
11841	11841	C09651	KEGG
90624	90624	C12317	KEGG
15993	15993	C00131	KEGG
46173732	46173732	C04613	KEGG
9285	9285	C07074	KEGG
9285	9285	C00200	KEGG
11112	11112	C08920	KEGG
9086	9086	C06869	KEGG
21672	21672	C16665	KEGG
5283205	5283205	C14771	KEGG
278	278	C00169	KEGG
445713	445713	C00448	KEGG
46173749	46173749	C05893	KEGG
5280802	5280802	C05610	KEGG
7279	7279	C04706	KEGG
8763	8763	C06533	KEGG
440599	440599	C02837	KEGG
75795	75795	C06455	KEGG
10221	10221	C08021	KEGG
445395	445395	C01847	KEGG
11500	11500	C09309	KEGG
5280650	5280650	C04145	KEGG
5310996	5310996	C13743	KEGG
11147	11147	C08955	KEGG
9568512	9568512	D08584	KEGG
3776	3776	C00493	KEGG
3776	3776	C01845	KEGG
3776	3776	D00137	KEGG
94136	94136	C00946	KEGG
7151	7151	C04545	KEGG
7151	7151	D04991	KEGG
4661	4661	C01491	KEGG
440198	440198	C04016	KEGG
13376	13376	C11195	KEGG
6328	6328	C03519	KEGG
6328	6328	C18448	KEGG
85782	85782	C05580	KEGG
20279	20279	D01370	KEGG
12163	12163	C09977	KEGG
8060	8060	C05765	KEGG
281691	281691	C06348	KEGG
1198	1198	C00311	KEGG
439418	439418	C01143	KEGG
8411	8411	C06155	KEGG
8411	8411	C19231	KEGG
65091	65091	C00458	KEGG
6047	6047	C03162	KEGG
6047	6047	C00355	KEGG
6047	6047	D00059	KEGG
71077	71077	C00740	KEGG
7381	7381	C04819	KEGG
7742	7742	C05367	KEGG
11955	11955	C09767	KEGG
17473	17473	C00167	KEGG
8973	8973	C06752	KEGG
94140	94140	C00412	KEGG
5280411	5280411	C01226	KEGG
6057	6057	C03175	KEGG
6057	6057	C00082	KEGG
6057	6057	D00022	KEGG
5371769	5371769	C02937	KEGG
5283548	5283548	C17556	KEGG
12173	12173	C09987	KEGG
91486	91486	C00836	KEGG
440080	440080	C03661	KEGG
449534	449534	C01213	KEGG
11966208	11966208	C09823	KEGG
854300	854300	C14062	KEGG
5283560	5283560	C06124	KEGG
751	751	C02154	KEGG
7076347	7076347	C20519	KEGG
12741	12741	C10558	KEGG
440294	440294	C04314	KEGG
9543186	9543186	C06322	KEGG
7680	7680	C05296	KEGG
7680	7680	C02505	KEGG
73115	73115	D03537	KEGG
151187	151187	C01102	KEGG
441328	441328	C07756	KEGG
12371	12371	C10185	KEGG
638015	638015	C00376	KEGG
5280346	5280346	C00399	KEGG
440077	440077	C03656	KEGG
7856	7856	C05503	KEGG
7856	7856	C19360	KEGG
6912	6912	C04247	KEGG
6912	6912	C00379	KEGG
6912	6912	C00474	KEGG
485	485	C00919	KEGG
6274	6274	C03454	KEGG
6274	6274	C00135	KEGG
6274	6274	D00032	KEGG
5280473	5280473	C01967	KEGG
7452	7452	C04902	KEGG
11966143	11966143	C00845	KEGG
